epoch|acc|loss|lr|val_acc|val_loss
0|0.12898|4.0368765334320065|0.001|0.1858|3.5731507850646973
1|0.28164|3.0649509687805176|0.001|0.2782|3.1401593074798586
2|0.37403|2.6128344140625|0.001|0.3629|2.672737825012207
3|0.43779|2.324139891242981|0.001|0.42|2.440407565498352
4|0.48654|2.1235932482147217|0.001|0.4196|2.4722750675201417
5|0.52539|1.9671619368743896|0.001|0.4578|2.2650152893066404
6|0.55197|1.8528153610992433|0.001|0.4743|2.2424381944656373
7|0.57668|1.7611733541107177|0.001|0.4603|2.3283063598632814
8|0.5974|1.6825540808486938|0.001|0.4764|2.2780556022644043
9|0.61402|1.6191193629074097|0.001|0.5437|1.9720475625991822
10|0.6299|1.5602096042633056|0.001|0.4925|2.2741196765899656
11|0.64414|1.5115581102371216|0.001|0.5077|2.17530970954895
12|0.6571|1.4659998877716065|0.001|0.5284|2.077941837310791
13|0.66618|1.4302104327392577|0.001|0.4905|2.3496990608215333
14|0.67606|1.3946400025939942|0.001|0.5494|1.976299427986145
15|0.68449|1.3675375533294678|0.001|0.516|2.1924093887329104
16|0.6919|1.3403018796157837|0.001|0.5284|2.182166078186035
17|0.69813|1.3173590897369385|0.001|0.548|2.026317935180664
18|0.70894|1.2873343665313721|0.001|0.5491|2.046976721572876
19|0.71245|1.2670998606300354|0.001|0.5296|2.2948170852661134
20|0.72179|1.2456786275100709|0.001|0.5579|2.0742299591064453
21|0.72494|1.2325772474670411|0.001|0.55|2.128559264755249
22|0.73005|1.2172403344345093|0.001|0.5512|2.0937010145187376
23|0.7352|1.1991691429138183|0.001|0.5476|2.16657798500061
24|0.74161|1.1766488939285278|0.001|0.5406|2.1959197448730468
25|0.74645|1.1686928491973876|0.001|0.5281|2.3203654390335084
26|0.74839|1.1565384756469728|0.001|0.5697|2.0047073179244994
27|0.75628|1.1374912760543823|0.001|0.5593|2.0887421182632444
28|0.7591|1.1264861032485962|0.001|0.5723|2.05786417427063
29|0.76223|1.1185556073379517|0.001|0.5914|1.9612964866638183
30|0.76349|1.1113493587875367|0.001|0.5752|2.0730128904342653
31|0.76811|1.0982815547180176|0.001|0.578|2.063597354507446
32|0.76962|1.0919990517044067|0.001|0.5509|2.258836072540283
33|0.77726|1.0773381687927246|0.001|0.5667|2.0948617233276368
34|0.77567|1.0730327675437927|0.001|0.5531|2.2075703643798827
35|0.77951|1.0659381419181824|0.001|0.5888|2.0132208536148073
36|0.78451|1.054707041568756|0.001|0.5792|2.1954203983306884
37|0.78418|1.0471331968307496|0.001|0.587|2.0218994915008546
38|0.78429|1.048981688079834|0.001|0.5895|2.136084019088745
39|0.78946|1.0355529092788696|0.001|0.5927|2.0903798484802247
40|0.79092|1.0309948183441162|0.001|0.5443|2.4286084762573243
41|0.79231|1.0276574843215942|0.001|0.5969|2.0782693561553955
42|0.79446|1.0203082009506226|0.001|0.5679|2.239050959396362
43|0.79757|1.0101638362884522|0.001|0.5282|2.5279137729644776
44|0.79945|1.0033456351661683|0.001|0.5622|2.354889879989624
45|0.80099|1.0008167333602904|0.001|0.5646|2.3070957527160645
46|0.80368|0.9946753167724609|0.001|0.5536|2.398387664794922
47|0.80486|0.9915244892501831|0.001|0.5918|2.1236637189865113
48|0.80701|0.9828570479011536|0.001|0.5856|2.131003494644165
